scenario_index,correct_diagnosis,baseline_diagnosis,baseline_moderator,baseline_correct,baseline_reached_diagnosis,pnlc_diagnosis,pnlc_moderator,pnlc_correct,pnlc_reached_diagnosis,outcome,pnlc_run,baseline_turns,baseline_parse_failures,baseline_critic_used_turns,baseline_critic_changed_action_turns,baseline_critic_error_turns,baseline_forced_diagnosis_used,pnlc_turns,pnlc_parse_failures,pnlc_critic_used_turns,pnlc_critic_changed_action_turns,pnlc_critic_error_turns,pnlc_forced_diagnosis_used,first_decisive_turn,failure_type,future_evidence_defect,critic_preferred_defect,review_notes
5,Pes anserine bursitis,DIAGNOSIS READY: Patellar Tendinitis,No,False,True,DIAGNOSIS READY: Patellar Tendinitis,No,False,True,Both wrong,PNLC,13,0,0,0,0,False,20,0,20,20,0,False,,,,,
7,Congenital Rubella Infection,DIAGNOSIS READY: Mongolian Spots (Benign Congenital Pigmented Lesions),No,False,True,DIAGNOSIS READY: CHARGE Syndrome,No,False,True,Both wrong,PNLC,20,1,0,0,0,False,20,0,20,19,0,False,,,,,
8,Phyllodes tumor,"DIAGNOSIS READY: Fibroadenoma. We will monitor the fibroadenoma every 6 months with a clinical exam and an ultrasound. Please keep an eye on the size of the mass and contact me if you notice any rapid changes, new symptoms, or if you have any concerns. Take care, and I’ll see you at your next appointment in 6 months.",No,False,True,DIAGNOSIS READY: Fibroadenoma,No,False,True,Both wrong,PNLC,19,1,0,0,0,False,20,0,20,18,0,False,,,,,
24,Meigs syndrome,DIAGNOSIS READY: Malignant Ovarian Tumor with Ascites,No,False,True,DIAGNOSIS READY: Benign Ovarian Tumor with Ascites,No,False,True,Both wrong,PNLC,17,1,0,0,0,False,20,0,20,20,0,False,,,,,
28,Lung cancer,DIAGNOSIS READY: Syndrome of Inappropriate Antidiuretic Hormone Secretion (SIADH),No,False,True,DIAGNOSIS READY: Syndrome of Inappropriate Antidiuretic Hormone Secretion (SIADH),No,False,True,Both wrong,PNLC,20,1,0,0,0,False,20,0,20,19,0,False,,,,,
36,Osteoclastoma,DIAGNOSIS READY: Benign Bone Tumor (likely Osteoid Osteoma or Enchondroma),No,False,True,DIAGNOSIS READY: Osteochondroma,No,False,True,Both wrong,PNLC,16,0,0,0,0,False,20,0,20,20,0,False,,,,,
41,Genitopelvic pain disorder,"DIAGNOSIS READY: Pelvic Floor Muscle Tension, Exacerbated by Stress and Body Dysmorphic Disorder.",No,False,True,DIAGNOSIS READY: Pelvic Floor Dysfunction with Psychosomatic Component,No,False,True,Both wrong,PNLC,20,0,0,0,0,False,20,0,20,20,0,False,,,,,
44,Asthma,DIAGNOSIS READY: Chronic Obstructive Pulmonary Disease (COPD),No,False,True,DIAGNOSIS READY: Chronic Obstructive Pulmonary Disease (COPD),No,False,True,Both wrong,PNLC,14,0,0,0,0,False,20,0,20,19,0,False,,,,,
45,Roseola infantum,DIAGNOSIS READY: Viral Exanthem,No,False,True,DIAGNOSIS READY: Febrile Seizure with Viral Exanthem,No,False,True,Both wrong,PNLC,20,0,0,0,0,False,20,1,19,17,1,False,,,,,
48,Hemophilia,DIAGNOSIS READY: Mild von Willebrand Disease,No,False,True,DIAGNOSIS READY: Von Willebrand Disease or Hemophilia,No,False,True,Both wrong,PNLC,20,1,0,0,0,False,20,1,19,16,1,False,,,,,
49,Steven-Johnson syndrome,DIAGNOSIS READY: Drug Reaction to Methotrexate,No,False,True,DIAGNOSIS READY: Drug-Induced Rash,No,False,True,Both wrong,PNLC,17,0,0,0,0,False,20,0,20,20,0,False,,,,,
50,Aromatase deficiency,DIAGNOSIS READY: Mayer-Rokitansky-Küster-Hauser (MRKH) Syndrome,No,False,True,DIAGNOSIS READY: Congenital Adrenal Hyperplasia (CAH),No,False,True,Both wrong,PNLC,20,0,0,0,0,False,20,1,19,19,1,False,,,,,
